run_dir,name,timestamp,cuda_device,command,overrides_json
outputs/2025-12-04/01-09-28,lam0.80_v0.5_beta0.05,2025-12-04T01:42:15.662815,7,"python -m main +name=testing dataset=ts_exchange algorithm=df_prediction experiment=exp_prediction wandb.mode=disabled experiment.tasks=['training_schedule_matrix'] load=""outputs/2025-11-07/05-10-26/checkpoints/epoch=13-step=1400.ckpt"" algorithm.diffusion.sampling_timesteps=10 algorithm.chunk_size=10 algorithm.schedule_matrix.build=True algorithm.schedule_matrix.actions=5 algorithm.schedule_matrix.positive_only=False algorithm.schedule_matrix.max_roller=10 algorithm.schedule_matrix.rollout_multiple=1 algorithm.schedule_matrix.step_reward=True algorithm.schedule_matrix.difference_step_reward=True algorithm.schedule_matrix.denoise_reward=True algorithm.schedule_matrix.denoise_bonus=0.1 algorithm.schedule_matrix.use_gae=True algorithm.schedule_matrix.entropy_beta=0.05 experiment.training_schedule_matrix.epochs=5 experiment.training_schedule_matrix.train_batch_size=512 algorithm.schedule_matrix.lam=0.80 algorithm.schedule_matrix.value_coef=0.5 algorithm.schedule_matrix.entropy_beta=0.05 hydra.run.dir=outputs/2025-12-04/01-09-28","[""algorithm.schedule_matrix.lam=0.80"", ""algorithm.schedule_matrix.value_coef=0.5"", ""algorithm.schedule_matrix.entropy_beta=0.05""]"
outputs/2025-12-04/01-42-15,lam0.90_v0.5_beta0.05,2025-12-04T02:14:52.092738,7,"python -m main +name=testing dataset=ts_exchange algorithm=df_prediction experiment=exp_prediction wandb.mode=disabled experiment.tasks=['training_schedule_matrix'] load=""outputs/2025-11-07/05-10-26/checkpoints/epoch=13-step=1400.ckpt"" algorithm.diffusion.sampling_timesteps=10 algorithm.chunk_size=10 algorithm.schedule_matrix.build=True algorithm.schedule_matrix.actions=5 algorithm.schedule_matrix.positive_only=False algorithm.schedule_matrix.max_roller=10 algorithm.schedule_matrix.rollout_multiple=1 algorithm.schedule_matrix.step_reward=True algorithm.schedule_matrix.difference_step_reward=True algorithm.schedule_matrix.denoise_reward=True algorithm.schedule_matrix.denoise_bonus=0.1 algorithm.schedule_matrix.use_gae=True algorithm.schedule_matrix.entropy_beta=0.05 experiment.training_schedule_matrix.epochs=5 experiment.training_schedule_matrix.train_batch_size=512 algorithm.schedule_matrix.lam=0.90 algorithm.schedule_matrix.value_coef=0.5 algorithm.schedule_matrix.entropy_beta=0.05 hydra.run.dir=outputs/2025-12-04/01-42-15","[""algorithm.schedule_matrix.lam=0.90"", ""algorithm.schedule_matrix.value_coef=0.5"", ""algorithm.schedule_matrix.entropy_beta=0.05""]"
outputs/2025-12-04/02-14-52,lam0.95_v0.5_beta0.05,2025-12-04T02:47:29.753112,7,"python -m main +name=testing dataset=ts_exchange algorithm=df_prediction experiment=exp_prediction wandb.mode=disabled experiment.tasks=['training_schedule_matrix'] load=""outputs/2025-11-07/05-10-26/checkpoints/epoch=13-step=1400.ckpt"" algorithm.diffusion.sampling_timesteps=10 algorithm.chunk_size=10 algorithm.schedule_matrix.build=True algorithm.schedule_matrix.actions=5 algorithm.schedule_matrix.positive_only=False algorithm.schedule_matrix.max_roller=10 algorithm.schedule_matrix.rollout_multiple=1 algorithm.schedule_matrix.step_reward=True algorithm.schedule_matrix.difference_step_reward=True algorithm.schedule_matrix.denoise_reward=True algorithm.schedule_matrix.denoise_bonus=0.1 algorithm.schedule_matrix.use_gae=True algorithm.schedule_matrix.entropy_beta=0.05 experiment.training_schedule_matrix.epochs=5 experiment.training_schedule_matrix.train_batch_size=512 algorithm.schedule_matrix.lam=0.95 algorithm.schedule_matrix.value_coef=0.5 algorithm.schedule_matrix.entropy_beta=0.05 hydra.run.dir=outputs/2025-12-04/02-14-52","[""algorithm.schedule_matrix.lam=0.95"", ""algorithm.schedule_matrix.value_coef=0.5"", ""algorithm.schedule_matrix.entropy_beta=0.05""]"
outputs/2025-12-04/02-47-29,lam0.99_v0.5_beta0.05,2025-12-04T03:20:25.554530,7,"python -m main +name=testing dataset=ts_exchange algorithm=df_prediction experiment=exp_prediction wandb.mode=disabled experiment.tasks=['training_schedule_matrix'] load=""outputs/2025-11-07/05-10-26/checkpoints/epoch=13-step=1400.ckpt"" algorithm.diffusion.sampling_timesteps=10 algorithm.chunk_size=10 algorithm.schedule_matrix.build=True algorithm.schedule_matrix.actions=5 algorithm.schedule_matrix.positive_only=False algorithm.schedule_matrix.max_roller=10 algorithm.schedule_matrix.rollout_multiple=1 algorithm.schedule_matrix.step_reward=True algorithm.schedule_matrix.difference_step_reward=True algorithm.schedule_matrix.denoise_reward=True algorithm.schedule_matrix.denoise_bonus=0.1 algorithm.schedule_matrix.use_gae=True algorithm.schedule_matrix.entropy_beta=0.05 experiment.training_schedule_matrix.epochs=5 experiment.training_schedule_matrix.train_batch_size=512 algorithm.schedule_matrix.lam=0.99 algorithm.schedule_matrix.value_coef=0.5 algorithm.schedule_matrix.entropy_beta=0.05 hydra.run.dir=outputs/2025-12-04/02-47-29","[""algorithm.schedule_matrix.lam=0.99"", ""algorithm.schedule_matrix.value_coef=0.5"", ""algorithm.schedule_matrix.entropy_beta=0.05""]"
outputs/2025-12-04/03-20-25,lam0.95_v0.10_beta0.05,2025-12-04T03:53:15.622765,7,"python -m main +name=testing dataset=ts_exchange algorithm=df_prediction experiment=exp_prediction wandb.mode=disabled experiment.tasks=['training_schedule_matrix'] load=""outputs/2025-11-07/05-10-26/checkpoints/epoch=13-step=1400.ckpt"" algorithm.diffusion.sampling_timesteps=10 algorithm.chunk_size=10 algorithm.schedule_matrix.build=True algorithm.schedule_matrix.actions=5 algorithm.schedule_matrix.positive_only=False algorithm.schedule_matrix.max_roller=10 algorithm.schedule_matrix.rollout_multiple=1 algorithm.schedule_matrix.step_reward=True algorithm.schedule_matrix.difference_step_reward=True algorithm.schedule_matrix.denoise_reward=True algorithm.schedule_matrix.denoise_bonus=0.1 algorithm.schedule_matrix.use_gae=True algorithm.schedule_matrix.entropy_beta=0.05 experiment.training_schedule_matrix.epochs=5 experiment.training_schedule_matrix.train_batch_size=512 algorithm.schedule_matrix.lam=0.95 algorithm.schedule_matrix.value_coef=0.10 algorithm.schedule_matrix.entropy_beta=0.05 hydra.run.dir=outputs/2025-12-04/03-20-25","[""algorithm.schedule_matrix.lam=0.95"", ""algorithm.schedule_matrix.value_coef=0.10"", ""algorithm.schedule_matrix.entropy_beta=0.05""]"
outputs/2025-12-04/03-53-15,lam0.95_v0.50_beta0.05,2025-12-04T04:25:59.133802,7,"python -m main +name=testing dataset=ts_exchange algorithm=df_prediction experiment=exp_prediction wandb.mode=disabled experiment.tasks=['training_schedule_matrix'] load=""outputs/2025-11-07/05-10-26/checkpoints/epoch=13-step=1400.ckpt"" algorithm.diffusion.sampling_timesteps=10 algorithm.chunk_size=10 algorithm.schedule_matrix.build=True algorithm.schedule_matrix.actions=5 algorithm.schedule_matrix.positive_only=False algorithm.schedule_matrix.max_roller=10 algorithm.schedule_matrix.rollout_multiple=1 algorithm.schedule_matrix.step_reward=True algorithm.schedule_matrix.difference_step_reward=True algorithm.schedule_matrix.denoise_reward=True algorithm.schedule_matrix.denoise_bonus=0.1 algorithm.schedule_matrix.use_gae=True algorithm.schedule_matrix.entropy_beta=0.05 experiment.training_schedule_matrix.epochs=5 experiment.training_schedule_matrix.train_batch_size=512 algorithm.schedule_matrix.lam=0.95 algorithm.schedule_matrix.value_coef=0.50 algorithm.schedule_matrix.entropy_beta=0.05 hydra.run.dir=outputs/2025-12-04/03-53-15","[""algorithm.schedule_matrix.lam=0.95"", ""algorithm.schedule_matrix.value_coef=0.50"", ""algorithm.schedule_matrix.entropy_beta=0.05""]"
outputs/2025-12-04/04-25-59,lam0.95_v1.00_beta0.05,2025-12-04T04:59:10.974255,7,"python -m main +name=testing dataset=ts_exchange algorithm=df_prediction experiment=exp_prediction wandb.mode=disabled experiment.tasks=['training_schedule_matrix'] load=""outputs/2025-11-07/05-10-26/checkpoints/epoch=13-step=1400.ckpt"" algorithm.diffusion.sampling_timesteps=10 algorithm.chunk_size=10 algorithm.schedule_matrix.build=True algorithm.schedule_matrix.actions=5 algorithm.schedule_matrix.positive_only=False algorithm.schedule_matrix.max_roller=10 algorithm.schedule_matrix.rollout_multiple=1 algorithm.schedule_matrix.step_reward=True algorithm.schedule_matrix.difference_step_reward=True algorithm.schedule_matrix.denoise_reward=True algorithm.schedule_matrix.denoise_bonus=0.1 algorithm.schedule_matrix.use_gae=True algorithm.schedule_matrix.entropy_beta=0.05 experiment.training_schedule_matrix.epochs=5 experiment.training_schedule_matrix.train_batch_size=512 algorithm.schedule_matrix.lam=0.95 algorithm.schedule_matrix.value_coef=1.00 algorithm.schedule_matrix.entropy_beta=0.05 hydra.run.dir=outputs/2025-12-04/04-25-59","[""algorithm.schedule_matrix.lam=0.95"", ""algorithm.schedule_matrix.value_coef=1.00"", ""algorithm.schedule_matrix.entropy_beta=0.05""]"
outputs/2025-12-04/04-59-10,lam0.95_v0.5_beta0.01,2025-12-04T05:32:17.704928,7,"python -m main +name=testing dataset=ts_exchange algorithm=df_prediction experiment=exp_prediction wandb.mode=disabled experiment.tasks=['training_schedule_matrix'] load=""outputs/2025-11-07/05-10-26/checkpoints/epoch=13-step=1400.ckpt"" algorithm.diffusion.sampling_timesteps=10 algorithm.chunk_size=10 algorithm.schedule_matrix.build=True algorithm.schedule_matrix.actions=5 algorithm.schedule_matrix.positive_only=False algorithm.schedule_matrix.max_roller=10 algorithm.schedule_matrix.rollout_multiple=1 algorithm.schedule_matrix.step_reward=True algorithm.schedule_matrix.difference_step_reward=True algorithm.schedule_matrix.denoise_reward=True algorithm.schedule_matrix.denoise_bonus=0.1 algorithm.schedule_matrix.use_gae=True algorithm.schedule_matrix.entropy_beta=0.05 experiment.training_schedule_matrix.epochs=5 experiment.training_schedule_matrix.train_batch_size=512 algorithm.schedule_matrix.lam=0.95 algorithm.schedule_matrix.value_coef=0.5 algorithm.schedule_matrix.entropy_beta=0.01 hydra.run.dir=outputs/2025-12-04/04-59-10","[""algorithm.schedule_matrix.lam=0.95"", ""algorithm.schedule_matrix.value_coef=0.5"", ""algorithm.schedule_matrix.entropy_beta=0.01""]"
outputs/2025-12-04/05-32-17,lam0.95_v0.5_beta0.05,2025-12-04T06:05:17.730445,7,"python -m main +name=testing dataset=ts_exchange algorithm=df_prediction experiment=exp_prediction wandb.mode=disabled experiment.tasks=['training_schedule_matrix'] load=""outputs/2025-11-07/05-10-26/checkpoints/epoch=13-step=1400.ckpt"" algorithm.diffusion.sampling_timesteps=10 algorithm.chunk_size=10 algorithm.schedule_matrix.build=True algorithm.schedule_matrix.actions=5 algorithm.schedule_matrix.positive_only=False algorithm.schedule_matrix.max_roller=10 algorithm.schedule_matrix.rollout_multiple=1 algorithm.schedule_matrix.step_reward=True algorithm.schedule_matrix.difference_step_reward=True algorithm.schedule_matrix.denoise_reward=True algorithm.schedule_matrix.denoise_bonus=0.1 algorithm.schedule_matrix.use_gae=True algorithm.schedule_matrix.entropy_beta=0.05 experiment.training_schedule_matrix.epochs=5 experiment.training_schedule_matrix.train_batch_size=512 algorithm.schedule_matrix.lam=0.95 algorithm.schedule_matrix.value_coef=0.5 algorithm.schedule_matrix.entropy_beta=0.05 hydra.run.dir=outputs/2025-12-04/05-32-17","[""algorithm.schedule_matrix.lam=0.95"", ""algorithm.schedule_matrix.value_coef=0.5"", ""algorithm.schedule_matrix.entropy_beta=0.05""]"
outputs/2025-12-04/06-05-17,lam0.95_v0.5_beta0.10,2025-12-04T06:38:24.809097,7,"python -m main +name=testing dataset=ts_exchange algorithm=df_prediction experiment=exp_prediction wandb.mode=disabled experiment.tasks=['training_schedule_matrix'] load=""outputs/2025-11-07/05-10-26/checkpoints/epoch=13-step=1400.ckpt"" algorithm.diffusion.sampling_timesteps=10 algorithm.chunk_size=10 algorithm.schedule_matrix.build=True algorithm.schedule_matrix.actions=5 algorithm.schedule_matrix.positive_only=False algorithm.schedule_matrix.max_roller=10 algorithm.schedule_matrix.rollout_multiple=1 algorithm.schedule_matrix.step_reward=True algorithm.schedule_matrix.difference_step_reward=True algorithm.schedule_matrix.denoise_reward=True algorithm.schedule_matrix.denoise_bonus=0.1 algorithm.schedule_matrix.use_gae=True algorithm.schedule_matrix.entropy_beta=0.05 experiment.training_schedule_matrix.epochs=5 experiment.training_schedule_matrix.train_batch_size=512 algorithm.schedule_matrix.lam=0.95 algorithm.schedule_matrix.value_coef=0.5 algorithm.schedule_matrix.entropy_beta=0.10 hydra.run.dir=outputs/2025-12-04/06-05-17","[""algorithm.schedule_matrix.lam=0.95"", ""algorithm.schedule_matrix.value_coef=0.5"", ""algorithm.schedule_matrix.entropy_beta=0.10""]"
